WV,top2,REP_DEM,678165,5
AR,Castle,CON,4613,0
AR,Hedges,IND,4709,0
AR,Johnson,LIB,29949,0
AR,Kahn,IND,3390,0
AR,McMullin,BFA,13176,0
AR,Stein,GRE,9473,0
AR,top2,REP_DEM,1065366,6
DE,Buchanan,W,4,0
DE,Castle,W,74,0
DE,DeLaFuente,W,3,0
DE,Duncan,W,1,0
DE,Hartnell,W,3,0
DE,Hoefling,W,7,0
DE,Johnson,LIB,14757,0
DE,Kahn,W,1,0
DE,LaRiva,W,3,0
DE,Limbaugh,W,3,0
DE,Locke,W,1,0
DE,Maldonado,W,1,0
DE,McMullin,W,706,0
DE,Other,W,1407,0
DE,PerryDarryl,W,1,0
DE,Scott,W,2,0
DE,Smith,W,3,0
DE,Sood,W,1,0
DE,Stein,GRE,6103,0
DE,Stout,W,1,0
DE,White,W,2,0
DE,top2,REP_DEM,420730,3
NH,Biden,W,55,0
NH,Bush,W,230,0
NH,Carson,W,83,0
NH,Christie,W,23,0
NH,Cruz,W,129,0
NH,DeLaFuente,ADP,678,0
NH,Johnson,LIB,30777,0
NH,Kasich,W,1365,0
NH,McCain,W,127,0
NH,McMullin,W,1064,0
NH,Paul,W,98,0
NH,Pence,W,937,0
NH,Romney,W,540,0
NH,Rubio,W,136,0
NH,Ryan,W,280,0
NH,Sanders,W,4493,0
NH,Scattered,W,2411,0
NH,Stein,GRE,6496,0
NH,Supreme,W,58,0
NH,top2,REP_DEM,694316,4
NM,Castle,CON,1514,0
NM,DeLaFuente,ADP,475,0
NM,Johnson,LIB,74541,0
NM,LaRiva,PSL,1184,0
NM,McMullin,BFA,5825,0
NM,Stein,GRE,9879,0
NM,top2,REP_DEM,704901,5
NV,Castle,IAP,5268,0
NV,DeLaFuente,NPY,2552,0
NV,Johnson,LIB,37384,0
NV,NoneofTheseCandidates,W,28863,0
NV,top2,REP_DEM,1051318,6
CT,Basiago,W,42,0
CT,Blumenthal,W,12,0
CT,Buchanan,W,19,0
CT,Castle,W,147,0
CT,CooperJ,W,57,0
CT,Cummings,W,5,0
CT,DeLaFuente,W,12,0
CT,Deame,W,13,0
CT,Evans,W,44,0
CT,Fox,W,3,0
CT,Hoefling,W,31,0
CT,Johnson,LIB,48676,0
CT,Klojzy,W,6,0
CT,Kotlikoff,W,23,0
CT,LaRiva,W,41,0
CT,Maldonado,W,4,0
CT,McMullin,W,2108,0
CT,Schoenke,W,15,0
CT,Skewes,W,4,0
CT,Smith,W,12,0
CT,Stein,GRE,22841,0
CT,Wu,W,18,0
CT,top2,REP_DEM,1570787,7
PA,Castle,CON,21572,0
PA,Johnson,LIB,146715,0
PA,Kahn,W,3,0
PA,Kasich,W,302,0
PA,McMullin,W,6472,0
PA,Sanders,W,6060,0
PA,Scattered,W,37239,0
PA,Stein,GRE,49941,0
PA,top2,REP_DEM,5897174,20
KS,Basiago,W,6,0
KS,Castle,W,646,0
KS,DeLaFuente,W,3,0
KS,Hedges,W,3,0
KS,Hoefling,W,45,0
KS,Johnson,LIB,55406,0
KS,Kahn,W,2,0
KS,LaRiva,W,7,0
KS,Maturen,W,214,0
KS,McMullin,W,6520,0
KS,PerryDarryl,W,1,0
KS,Schriner,W,3,0
KS,Smith,W,6,0
KS,Sood,W,10,0
KS,Stein,IND,23506,0
KS,Sterling,W,1,0
KS,top2,REP_DEM,1098023,6
CO,Atwood,APV,337,0
CO,Castle,AMC,11699,0
CO,DeLaFuente,W,1255,0
CO,Fox,W,2,0
CO,Hedges,P,185,0
CO,Hoefling,AMP,710,0
CO,Johnson,LIB,144121,0
CO,Keniston,VPA,5028,0
CO,Kennedy,SWP,452,0
CO,Kopitke,IAP,1096,0
CO,Kotlikoff,KFP,392,0
CO,LaRiva,SLP,531,0
CO,Lohmiller,W,3,0
CO,Lyttle,NRP,382,0
CO,Maldonado,IPC,872,0
CO,Maturen,ASP,862,0
CO,McMullin,UN,28917,0
CO,Nieman,W,1,0
CO,PerryBrian,W,4,0
CO,PerryDavid,W,11,0
CO,Scott,UN,749,0
CO,Silva,NTP,751,0
